part_name,category,relative_path,status,geometry_hash,near_duplicate_key,duplicate_group,near_duplicate_group,size_x_mm,size_y_mm,size_z_mm,volume_mm3,notes
mikrotik_tray,printable/plastic,exports/mk0.7.1/printable/plastic/mikrotik_tray.stl,ok,f946bb3f3d2bc7c7a4e1b1ca68de5d069793b98b0e295d4639d3e19c5f4549ba,"(32.0, 172.0, 178.70000000000002, 137544.0)",,,172.000,178.700,32.000,137544.175,
mini_pc_airflow_duct,printable/plastic,exports/mk0.7.1/printable/plastic/mini_pc_airflow_duct.stl,ok,e60373ad33d485d12c8d9acd8f671d25d4eb0fcc1e6b3fe02cd86d3638d586c1,"(62.0, 88.0, 134.0, 64252.0)",,,88.000,134.000,62.000,64252.160,
mini_pc_tray,printable/plastic,exports/mk0.7.1/printable/plastic/mini_pc_tray.stl,ok,28fe122965f9755afc257496e000215df71ac8063710751057fffd78a7b7acf2,"(32.0, 172.0, 178.70000000000002, 187453.0)",,,172.000,178.700,32.000,187452.501,
mini_pc_tray_stop,printable/plastic,exports/mk0.7.1/printable/plastic/mini_pc_tray_stop.stl,ok,c4691f008e393e438f029f7a376b151d9514df8207a65f75b1e5212b2b343c1d,"(6.0, 18.0, 22.0, 1162.0)",,,18.000,6.000,22.000,1162.157,
power_bus_cover,printable/plastic,exports/mk0.7.1/printable/plastic/power_bus_cover.stl,ok,964f87f6bfaf8f561612765d6956937cffe4a65ce35097bd1591a6c8ab482cfe,"(5.0, 46.0, 265.5, 33279.0)",,,46.000,5.000,265.500,33278.843,
power_bus_panel,printable/plastic,exports/mk0.7.1/printable/plastic/power_bus_panel.stl,ok,c0450f965b27af491b477e0bdd64a8e19f71b3d1627018a41684a249073b3aa2,"(7.5, 34.0, 275.5, 39317.0)",,,34.000,7.500,275.500,39316.972,
raspberry_pi_tray,printable/plastic,exports/mk0.7.1/printable/plastic/raspberry_pi_tray.stl,ok,6fb96a18ee694f8cf76273da8e973db821bfd5e81bb6f2a2b5f64fcf8c1a2a14,"(32.0, 172.0, 178.70000000000002, 129953.0)",,,172.000,178.700,32.000,129953.175,
rear_service_spine,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine.stl,ok,2119e2024752492e83f1c75891be365c096606715b381de28240d36773fa913e,"(40.0, 80.0, 297.5, 164685.0)",,,80.000,40.000,297.500,164685.196,
rear_service_spine_cover,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine_cover.stl,ok,1f232dd8463b36ecf65ec3d2583dbdd4eda6a01801596ff1f29faca727544f23,"(3.0, 46.0, 295.5, 40210.0)",,,46.000,3.000,295.500,40210.275,
rear_stability_wing,printable/plastic,exports/mk0.7.1/printable/plastic/rear_stability_wing.stl,ok,0508d4fcaf71504c1364f932900b3a04c8868b8a22ce9f3d2cd01ff55ec7cba3,"(10.0, 47.0, 250.0, 116957.0)",exact_002,near_002,250.000,47.000,10.000,116957.170,duplicate_group=exact_002; near_duplicate_group=near_002
right_foot_extension,printable/plastic,exports/mk0.7.1/printable/plastic/right_foot_extension.stl,ok,0090d44d55958e14bdf3a95227ccac1d37df3dd1fddf80bc2e4f1ae368fd7938,"(10.0, 42.0, 190.0, 79257.0)",exact_003,near_003,42.000,190.000,10.000,79257.170,duplicate_group=exact_003; near_duplicate_group=near_003
right_side_panel_lower,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_lower.stl,ok,3f32d780568289217226978bb3e2fb8122679ec0b6bfdadf418ee2a597f1373e,"(13.0, 100.9, 176.0, 88794.0)",exact_004,near_004,176.000,13.000,100.900,88794.171,duplicate_group=exact_004; near_duplicate_group=near_004
right_side_panel_middle,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_middle.stl,ok,8997f442c8a50dfc075a751ded5310a12308e0de6b948165ddd2c0a1ebac0806,"(5.2, 100.9, 176.0, 63144.0)",exact_005,near_005,176.000,5.200,100.900,63143.834,duplicate_group=exact_005; near_duplicate_group=near_005
right_side_panel_upper,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_upper.stl,ok,1d09e99665ce96634741419325a08548eb6166cb3936ddba3c44fa7cda86846b,"(13.0, 100.9, 176.0, 93621.0)",exact_006,near_006,176.000,13.000,100.900,93620.808,duplicate_group=exact_006; near_duplicate_group=near_006
ssd_expansion_tray,printable/plastic,exports/mk0.7.1/printable/plastic/ssd_expansion_tray.stl,ok,c780007e4c985663466e1def585c07fcea39fa71cb2dd7a5046a323ec60327a2,"(32.0, 172.0, 178.70000000000002, 131677.0)",,,172.000,178.700,32.000,131677.175,
top_fan_grille,printable/plastic,exports/mk0.7.1/printable/plastic/top_fan_grille.stl,ok,c02772da548d37271881c27ee5589c1a18f792d6c8a1c0c5d057db5c7b330285,"(4.0, 190.0, 190.0, 109041.0)",,,190.000,190.000,4.000,109040.596,
top_structural_frame,printable/plastic,exports/mk0.7.1/printable/plastic/top_structural_frame.stl,ok,a185cdde87372e5a189d64ae0085821bb6903b8e20e3cf5b7500de70a720da8b,"(13.0, 190.0, 190.0, 84693.0)",exact_001,near_001,190.000,190.000,13.000,84693.424,duplicate_group=exact_001; near_duplicate_group=near_001
ups_power_tray,printable/plastic,exports/mk0.7.1/printable/plastic/ups_power_tray.stl,ok,99e9e353ba601b52052dda43ee482bf9dbc3dc123533b26f73ec4d761178f41a,"(32.0, 178.70000000000002, 186.5, 154378.0)",,,186.500,178.700,32.000,154378.035,
foot,printable/tpu,exports/mk0.7.1/printable/tpu/foot.stl,ok,a13d951ef986039ab62f5d66ad084021dcf522eabc29e3ed2752f3f49da92e38,"(32.0, 34.0, 34.0, 28073.0)",,,34.000,34.000,32.000,28072.772,
airflow_path_review,review,exports/mk0.7.1/review/airflow_path_review.stl,ok,74fb7eb81437c010f38113b9a879864de9995e6f712da90a295ff458772fe146,"(16.0, 91.0, 329.8, 12089.0)",,,91.000,16.000,329.800,12089.019,
blocked_air_zones_review,review,exports/mk0.7.1/review/blocked_air_zones_review.stl,ok,8a9ca6aa81641ae170a0ecdcee8914ec909973e1baac3e8a49a761d83d17540f,"(103.0, 181.75, 229.0, 107520.0)",,,229.000,103.000,181.750,107520.000,
bottom_intake_open_area_review,review,exports/mk0.7.1/review/bottom_intake_open_area_review.stl,ok,0b93777500e75c814e23383510913419c55dcdc1f7a3fb472b0b5c51fd17e049,"(4.0, 112.0, 112.0, 26308.0)",,,112.000,112.000,4.000,26307.970,
mini_pc_airflow_path_review,review,exports/mk0.7.1/review/mini_pc_airflow_path_review.stl,ok,b624db7ae4346b5cade96fb76cbbf9b3cdbc7cfadf2423b5383c05a0f3f15202,"(16.0, 16.0, 54.800000000000004, 2965.0)",,,16.000,54.800,16.000,2964.583,
printability_layout_review,review,exports/mk0.7.1/review/printability_layout_review.stl,ok,9516d30dfdaabd9e741768f73074ae2d26d882a023eee7324625f43b5be115cc,"(16.0, 296.0, 298.0, 649460.0)",,,298.000,296.000,16.000,649460.101,
stability_review,review,exports/mk0.7.1/review/stability_review.stl,ok,eda034ce020d8876dc6c44f0dbd0b1038fc3d238468e7a863ca3338307eeba15,"(250.0, 288.6, 296.0, 226714.0)",,,250.000,296.000,288.600,226713.981,
